file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id,download_dir,file_name,full_path
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.hfss.gn.v20181126.hfss_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.hfss.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,hfss,Surface Upward Sensible Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577920,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/hfss/gn/v20181126/hfss_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/d319f7b1-dd1a-3163-9029-6447eb896573,hdl:21.14100/5844a0b5-e0e7-4abf-b05a-cfac57f5f746,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,hfss_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/hfss_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.hfls.gn.v20181126.hfls_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.hfls.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,hfls,Surface Upward Latent Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577464,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/hfls/gn/v20181126/hfls_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/8790edf3-0851-39e4-964a-2a8d0f403117,hdl:21.14100/875e373b-3925-4674-b6f3-7d4263965ca9,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,hfls_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/hfls_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tasmin.gn.v20181126.tasmin_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tasmin.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,tasmin,Daily Minimum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577476,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tasmin/gn/v20181126/tasmin_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/9412a651-47eb-3325-bcbd-c910b9323e0b,hdl:21.14100/0cf659eb-4d48-4d79-a3db-bcf4d27d1377,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,tasmin_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/tasmin_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.pr.gn.v20181126.pr_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.pr.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,pr,Precipitation,kg m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577048,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/pr/gn/v20181126/pr_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/ed026cdc-c97d-3246-9ecc-391cd8ebdb50,hdl:21.14100/7b6d329a-4b9a-4646-8e7c-0c2a56bfd098,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,pr_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/pr_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181126.tasmax_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577476,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tasmax/gn/v20181126/tasmax_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/069879e0-0dda-35d7-a37c-67797328d3c1,hdl:21.14100/8ba670e9-4c5b-40f6-abdb-315644efa0ce,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,tasmax_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/tasmax_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tas.gn.v20181126.tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc|cmip.bcc.cma.cn,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.Amon.tas.gn.v20181126|cmip.bcc.cma.cn,CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,Amon,mon,gn,20181126,100 km,tas,Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,405577368,cmip.bcc.cma.cn,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/d362a7a6-d54e-3924-87c6-a73bf1f0523c,hdl:21.14100/007da5e5-12bb-4fe9-8df9-5cd473280650,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR,tas_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/BCC-CSM2-MR/tas_historical_BCC-CSM2-MR_1850-01-01_2014-12-01.nc
CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.pr.gn.v20190415.pr_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc_0|esgf-data.ucar.edu,CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.pr.gn.v20190415|esgf-data.ucar.edu,CMIP6,CMIP,NCAR,CESM2-WACCM,historical,r1i1p1f1,Amon,mon,gn,20190415,100 km,pr,Precipitation,kg m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,343093105,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/pr/gn/v20190415/pr_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/e134be5a-f72f-36f9-83d4-3c57f0fe86fa,hdl:21.14100/2e69610a-c67a-4d36-b4df-09319901cf0c,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM,pr_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM/pr_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.hfss.gn.v20190222.hfss_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.hfss.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,hfss,Surface Upward Sensible Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,319203900,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/hfss/gn/v20190222/hfss_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/9745807a-c7c5-3eb3-9ec6-8e0e1210ff0a,hdl:21.14100/8f2345d3-51dc-46a2-a5f8-efc13f8822f6,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,hfss_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/hfss_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.hfls.gn.v20190222.hfls_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.hfls.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,hfls,Surface Upward Latent Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,316282162,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/hfls/gn/v20190222/hfls_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/57cc3665-cc98-3051-98de-8ebfe6aee3f1,hdl:21.14100/f73183de-d6ab-43e1-9d44-d64982047b09,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,hfls_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/hfls_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.pr.gn.v20190222.pr_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.pr.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,pr,Precipitation,kg m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,320764950,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/pr/gn/v20190222/pr_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/5eab5862-79f6-30ed-8512-62cbc311cb9d,hdl:21.14100/e0027ff7-360d-4529-b7cb-410dc63dc920,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,pr_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/pr_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tasmax.gn.v20190222.tasmax_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tasmax.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,226465504,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/tasmax/gn/v20190222/tasmax_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/12b7ea76-c0e4-3e2f-9cea-294de8f5212a,hdl:21.14100/eace8b52-a3be-4835-aa1d-b90b576c67d7,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,tasmax_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/tasmax_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tasmin.gn.v20190222.tasmin_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tasmin.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,tasmin,Daily Minimum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,227140151,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/tasmin/gn/v20190222/tasmin_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/afdd0a48-2a25-3d11-9bd3-8b18e936dd6b,hdl:21.14100/c30e698c-5c66-43a4-a220-bd80a0ff8ad3,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,tasmin_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/tasmin_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tas.gn.v20190222.tas_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data2.diasjp.net,CMIP6.CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.Amon.tas.gn.v20190222|esgf-data2.diasjp.net,CMIP6,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,Amon,mon,gn,20190222,100 km,tas,Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,225391459,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/Amon/tas/gn/v20190222/tas_Amon_MRI-ESM2-0_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/40e36163-a27f-3fa8-be34-9e5ccd87a986,hdl:21.14100/c881548e-03d5-43e1-82f3-568eee6494a2,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0,tas_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/MRI-ESM2-0/tas_historical_MRI-ESM2-0_1850-01-01_2014-12-01.nc
CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.hfss.gn.v20190227.hfss_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data.ucar.edu,CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.hfss.gn.v20190227|esgf-data.ucar.edu,CMIP6,CMIP,NCAR,CESM2-WACCM,historical,r1i1p1f1,Amon,mon,gn,20190227,100 km,hfss,Surface Upward Sensible Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,343438415,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/hfss/gn/v20190227/hfss_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/ed5fc1a0-72c7-35ef-b25b-e125ffbe640a,hdl:21.14100/4511be46-9bb5-40ec-bac0-d85084de6d70,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM,hfss_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM/hfss_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc
CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.hfls.gn.v20190227.hfls_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data.ucar.edu,CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.hfls.gn.v20190227|esgf-data.ucar.edu,CMIP6,CMIP,NCAR,CESM2-WACCM,historical,r1i1p1f1,Amon,mon,gn,20190227,100 km,hfls,Surface Upward Latent Heat Flux,W m-2,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,337842463,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/hfls/gn/v20190227/hfls_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/6064c292-c52d-3d60-acc5-b3c2078d0437,hdl:21.14100/d4adf1b4-c040-486d-a6e6-2cdd767ca4f1,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM,hfls_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM/hfls_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc
CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.tas.gn.v20190227.tas_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc|esgf-data.ucar.edu,CMIP6.CMIP.NCAR.CESM2-WACCM.historical.r1i1p1f1.Amon.tas.gn.v20190227|esgf-data.ucar.edu,CMIP6,CMIP,NCAR,CESM2-WACCM,historical,r1i1p1f1,Amon,mon,gn,20190227,100 km,tas,Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,243166143,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/tas/gn/v20190227/tas_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/62523492-b391-3fa3-8dc2-c35a56b09c18,hdl:21.14100/55a8af4c-3729-4051-9e53-f22295c2ec1c,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM,tas_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/CESM2-WACCM/tas_historical_CESM2-WACCM_1850-01-01_2014-12-01.nc
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218.tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185001-185012.nc|esgf3.dkrz.de,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218|esgf3.dkrz.de,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,Amon,mon,gn,20181218,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1850-01-01T00:00:00Z,1850-12-01T00:00:00Z,2742502,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AWI/AWI-CM-1-1-MR/historical/r1i1p1f1/Amon/tasmax/gn/v20181218/tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185001-185012.nc,hdl:21.14100/1734c742-8af9-3249-9448-756eaf121b5c,hdl:21.14100/e16803f1-063b-4adc-be96-2156dba1b73a,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR,tasmax_historical_AWI-CM-1-1-MR_1850-01-01_1850-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR/tasmax_historical_AWI-CM-1-1-MR_1850-01-01_1850-12-01.nc
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218.tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185101-185112.nc|esgf3.dkrz.de,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218|esgf3.dkrz.de,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,Amon,mon,gn,20181218,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1851-01-01T00:00:00Z,1851-12-01T00:00:00Z,2748943,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AWI/AWI-CM-1-1-MR/historical/r1i1p1f1/Amon/tasmax/gn/v20181218/tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185101-185112.nc,hdl:21.14100/1734c742-8af9-3249-9448-756eaf121b5c,hdl:21.14100/27faa7e7-f815-4dfb-8579-5acf5e9b7880,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR,tasmax_historical_AWI-CM-1-1-MR_1851-01-01_1851-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR/tasmax_historical_AWI-CM-1-1-MR_1851-01-01_1851-12-01.nc
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218.tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185201-185212.nc|esgf3.dkrz.de,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218|esgf3.dkrz.de,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,Amon,mon,gn,20181218,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1852-01-01T00:00:00Z,1852-12-01T00:00:00Z,2749162,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AWI/AWI-CM-1-1-MR/historical/r1i1p1f1/Amon/tasmax/gn/v20181218/tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185201-185212.nc,hdl:21.14100/1734c742-8af9-3249-9448-756eaf121b5c,hdl:21.14100/e2f2e409-e864-46c9-9da7-91cc82f44f68,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR,tasmax_historical_AWI-CM-1-1-MR_1852-01-01_1852-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR/tasmax_historical_AWI-CM-1-1-MR_1852-01-01_1852-12-01.nc
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218.tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185301-185312.nc|esgf3.dkrz.de,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Amon.tasmax.gn.v20181218|esgf3.dkrz.de,CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,Amon,mon,gn,20181218,100 km,tasmax,Daily Maximum Near-Surface Air Temperature,K,1853-01-01T00:00:00Z,1853-12-01T00:00:00Z,2749893,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/AWI/AWI-CM-1-1-MR/historical/r1i1p1f1/Amon/tasmax/gn/v20181218/tasmax_Amon_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_185301-185312.nc,hdl:21.14100/1734c742-8af9-3249-9448-756eaf121b5c,hdl:21.14100/f98b301a-32c8-443c-8428-19753298b9c2,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR,tasmax_historical_AWI-CM-1-1-MR_1853-01-01_1853-12-01.nc,/Users/scottericr/Documents/heliconia-cmip/data_raw/historical/AWI-CM-1-1-MR/tasmax_historical_AWI-CM-1-1-MR_1853-01-01_1853-12-01.nc
